id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,PROVINCE,Island,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
"124029",PHI-1989-1-217-1,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 16 Jan 1989 ""EIGHT DIE IN PHILIPPINE FIGHTING, NINE KIDNAPPED.",,,,military spokesman,"1",Makilala town,Makilala town,Cotabato province,Makilala municipality,Cotabato,Mindanao,6.9514,125.0992,POINT (125.0992 6.9514),"139571",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"0","8","0","0","8","8","8","840",
"125199",PHI-1989-1-217-2,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 31 Jan 1989 ""36 DIE IN PHILIPPINE INSURGENCY WAR.",,,,military spokesman,"1",Sultan Kudarat town,Sultan Kudarat town,Maguindanao province,Sultan Kudarat municipality,Maguindanao,Mindanao,7.27,124.3106,POINT (124.3106 7.27),"140289",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"4","0","0","0","4","4","4","840",
"123871",PHI-1989-1-217-5,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 7 Feb 1989 ""COMMUNIST REBELS KILL SEVEN SOLDIERS IN PHILIPPINES",,,,military spokesman,"4",Surigao del Sur province,Surigao del Sur province,Surigao del Sur province,,Surigao del Sur,Mindanao,8.66667,126,POINT (126 8.66667),"142453",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"3","0","5","0","8","8","8","840",
"122819",PHI-1989-1-217-7,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 9 Feb 1989 ""17 DIE IN PHILIPPINE VIOLENCE.",,,,military spokesman,"4",Agusan del Sur province,Agusan del Sur province,Agusan del Sur province,,Agusan del Sur,Mindanao,8.5,125.833333,POINT (125.833333 8.5),"142452",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"3","0","8","0","11","11","11","840",
"123283",PHI-1989-1-217-8,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 9 Feb 1989 ""17 DIE IN PHILIPPINE VIOLENCE.",,,,military spokesman,"4",Lanao del Norte province,Lanao del Norte (southern),Lanao del Norte province,,Lanao del Norte,Mindanao,8,124,POINT (124 8),"141729",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"3","0","0","0","3","3","3","840",
"123344",PHI-1989-1-217-14,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 12 March 1989 ""SEVENTEEN DIE IN PHILIPPINE FIGHTING.",,,,military spokesman,"3",Lupon municipality,Lupon municipality,Davao Oriental province,Lupon municipality,Davao Oriental,Mindanao,7.081413,126.129886,POINT (126.129886 7.081413),"140293",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"2","15","0","0","17","17","17","840",
"123501",PHI-1989-1-217-15,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 14 March 1989 ""SIX KILLED KILLED IN REBEL CLASHES IN PHILIPPINES",,,,military spokesman,"4",Misamis Oriental province,Misamis Oriental province,Misamis Oriental province,,Misamis Oriental,Mindanao,8.75,125,POINT (125 8.75),"142451",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"3","0","0","0","3","3","3","840",
"121194",PHI-1989-1-217-16,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 14 March 1989 ""SIX KILLED KILLED IN REBEL CLASHES IN PHILIPPINES",,,,military spokesman,"4",Agusan del Sur province,Agusan del Sur province,Agusan del Sur province,,Agusan del Sur,Mindanao,8.5,125.833333,POINT (125.833333 8.5),"142452",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"0","3","0","0","3","3","3","840",
"124539",PHI-1989-1-217-17,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 20 March 1989 ""REBELS BLAST ARMY TRUCK, FIVE KILLED, 17 WOUNDED.",,,,military spokesman,"3",Lakewood municipality,Lakewood municipality,Zamboanga del Sur province,Lakewood municipality,Zamboanga del Sur,Mindanao,7.894,123.1583,POINT (123.1583 7.894),"141007",Philippines,PHL,"840",Asia,"1","1",00:00.0,00:00.0,"5","1","0","0","6","6","6","840",
"123862",PHI-1989-1-217-22,"1989",true,Clear,"1","209","209",Philippines: Government,"411","411",Government of Philippines - CPP,"154","154",Government of Philippines,"169","169",CPP,"-1","R 21 April 1989 ""EMBASSY WARNS AMERICANS AFTER KILLING OF U.S. COLONEL",,,,military spokesman,"4",Surigao del Norte province,Surigao del Norte province,Surigao del Norte province,,Surigao del Norte,Mindanao,9.6667,125.63333,POINT (125.63333 9.6667),"143892",Philippines,PHL,"840",Asia,"1","2",00:00.0,00:00.0,"0","4","0","0","4","4","4","840",
